business_time,business_job_openings,business_review,plat_customer_support_cnt_t3m,plat_dashboard_cnt_t3m,plat_trsct_acct_flag,plat_saving_acct_flag,plat_login_cnt_t1m,fin_revenue,fin_profit,fin_assets,fin_liabilities,tran_vol_t1m,tran_vol_t3m,tran_cnt_t3m,tran_inflow_t3m,tran_outflow_t3m,credit_score,credit_lines_cnt,credit_current_amt,credit_default_cnt_t12m,credit_inquiry_cnt_t3m,credit_court_cnt_t12m,loan_amount,loan_late_repayment_cnt,loan_interest_rate,loan_utilization_amount,drv_income_pm_avg_t3m,drv_profit_margin_rate,drv_asset_liability_rate,drv_loan_util_rate,drv_inflow_outflow_rate_t3m,drv_tran_vol_std_t12m,drv_inflow_std_t6m,drv_trans_vol_prop_t1t3,business_industry_manufacturing,business_industry_retail,business_industry_services,business_structure_company,business_location_urban
13,7,5,1,0,1,1,15,55504,11593,484529,223930,5613,20915,370,13010,14517,514,2,15476,0,0,0,42473,0,0.16,5486,-502.3333333333333,0.20886782934563275,2.1637520653775733,0.12916441033126927,0.8961906730040642,701.1755711824535,945.8990846835447,0.26837198183122163,True,False,False,True,False
17,2,5,0,0,1,0,17,907208,190997,8348141,3666667,55270,204807,0,215097,232918,743,8,367872,0,1,0,3039,1,0.13,741,-5940.333333333333,0.2105327554430737,2.2767655202940436,0.24383020730503455,0.9234880945225358,696.3891716023052,587.9928696861888,0.2698638230138618,False,False,False,True,True
12,0,1,0,0,1,1,9,41452,8495,261094,119433,1814,9896,160,8344,8697,510,9,739206,0,0,0,21425,0,0.14,1178,-117.66666666666667,0.2049358293930329,2.1861127159160367,0.054982497082847144,0.9594112912498562,138.85527733966785,986.1158151542431,0.18330638641875505,False,True,False,True,True
6,4,4,2,1,1,1,16,40058,4491,286710,33101,5186,16224,0,9462,8951,506,8,763848,0,2,0,33136,2,0.14,12564,170.33333333333334,0.11211243696639872,8.661671852814115,0.37916465475615646,1.0570885934532455,527.470915785321,726.0566727009127,0.3196499013806706,True,False,False,False,False
4,2,5,0,1,1,1,4,328179,86459,811514,316304,22731,34103,1389,91082,101038,602,7,535094,0,1,2,4068,0,0.15,976,-3318.6666666666665,0.26345073877365704,2.565614092771511,0.23992133726647,0.901462815970229,221.9766992219686,800.6953822005138,0.6665396006216462,False,True,False,True,False
5,1,3,2,1,1,0,15,50668,4166,496353,119916,2946,7131,304,12881,14727,506,1,47950,0,0,0,5097,0,0.13,934,-615.3333333333334,0.08222152048630299,4.139172420694486,0.18324504610555228,0.87465199972839,688.5335087891976,922.6178792870382,0.41312578880942363,False,False,True,False,False
13,8,1,0,1,0,0,12,256232,33119,938866,253758,14345,30079,800,56466,65530,548,8,509680,0,0,0,49222,0,0.14,18212,-3021.3333333333335,0.12925395735115053,3.6998478865690934,0.3699971557433668,0.8616816725164047,431.0196967612224,799.1946454152561,0.47691080155590276,False,False,False,False,True
17,1,4,0,2,1,0,18,54659,2921,421120,73470,7740,39212,203,15809,14665,505,1,58113,1,1,0,47146,0,0.11,25930,381.3333333333333,0.0534404215225306,5.731863345583231,0.5499936367878505,1.0780088646437096,979.9285040227124,711.0717821752531,0.19738855452412526,False,False,False,False,False
18,0,1,0,3,1,1,15,53050,9236,249762,41343,8178,19858,110,10689,10701,514,5,387320,0,0,0,38071,0,0.12,4854,-4.0,0.17409990574929313,6.041216167186707,0.12749862099760972,0.9988786094757499,903.3610419719345,754.8967495601981,0.4118239500453218,False,True,False,False,False
1,9,1,0,1,1,0,16,1144055,243660,7161268,1804460,113348,373164,0,308276,264277,843,1,24659,0,0,0,18789,0,0.17,18037,14666.333333333334,0.21297927110147677,3.9686487924365186,0.9599765820426845,1.166488192313368,951.7341157075608,509.12487368713033,0.3037484859203996,False,False,False,False,False
16,9,2,2,1,1,1,9,320137,32558,2357927,571448,19665,49971,606,78768,73787,548,1,30594,0,1,0,29932,0,0.12,9578,1660.3333333333333,0.10170020959776596,4.126231958113424,0.31999198182547106,1.0675051160773579,589.9167345683982,15.100624597163215,0.39352824638290207,False,False,True,False,True
12,9,5,0,0,1,0,14,282236,25426,2557784,373792,14027,41091,0,62344,66288,536,1,81714,0,2,0,30587,0,0.14,6831,-1314.6666666666667,0.09008772800068028,6.842800273949148,0.2233301729492922,0.9405020516533913,827.8180214131309,937.9406195322114,0.3413642890170597,False,True,False,False,False
2,3,1,1,0,1,0,8,336306,63286,1599961,199814,35543,61126,1487,90530,91477,576,3,120345,0,1,0,6886,0,0.15,6438,-315.6666666666667,0.18817981243272497,8.007251744122033,0.9349404589021203,0.9896476709992675,603.4685448834408,987.6252182494096,0.5814710597781632,True,False,False,True,True
9,9,1,1,0,1,1,17,326230,32849,1889955,544615,48289,289580,1811,72506,66145,546,6,281730,1,1,0,18276,0,0.12,4009,2120.3333333333335,0.10069276277472948,3.470258806679948,0.21935872182096738,1.0961675107717892,630.8202943250506,758.8653043707462,0.16675530078044065,False,True,False,True,False
7,3,4,2,0,1,1,15,52696,5949,329264,59327,7793,44664,587,15570,15818,509,8,798736,0,0,0,8822,0,0.2,1084,-82.66666666666667,0.11289281918931228,5.549985672627977,0.12287463160281116,0.9843216588696422,120.12005028329841,585.210395966882,0.17448056600394055,True,False,False,False,False
18,0,4,0,1,1,1,14,992827,60524,2893540,805880,96689,420580,0,295895,261590,585,3,297891,0,0,0,42804,0,0.12,2235,11435.0,0.060961275227204736,3.5905345709038565,0.05221474628539389,1.1311403341106312,702.8409128804611,555.6349737843323,0.22989443149935804,False,False,True,False,True
15,2,5,0,0,1,0,8,49408,11864,286910,70189,5464,11150,0,10811,9782,519,7,493367,0,1,1,16933,0,0.11,7027,343.0,0.24012305699481865,4.087677556312243,0.4149884840252761,1.1051932120220813,745.8826358386528,317.6203015045315,0.4900448430493273,True,False,False,False,True
