business_size,business_time,business_industry,business_structure,business_location,business_job_openings,business_review,plat_customer_support_cnt_t3m,plat_dashboard_cnt_t3m,plat_terminal_flag,plat_trsct_acct_flag,plat_saving_acct_flag,plat_login_cnt_t1m,fin_revenue,fin_profit,fin_assets,fin_liabilities,tran_vol_t1m,tran_vol_t3m,tran_cnt_t1m,tran_cnt_t3m,tran_inflow_t3m,tran_outflow_t3m,credit_score,credit_lines_cnt,credit_current_amt,credit_default_cnt_t12m,credit_inquiry_cnt_t3m,credit_inquiry_cnt_t12m,credit_court_cnt_t12m,loan_amount,loan_late_repayment_cnt,loan_interest_rate,loan_start_date,loan_maturity_date,loan_utilization_amount,loan_last_late_date,default
small,19,retail,partnership,urban,2,5,0,1,1,0,1,6,59164,2968,408814,166669,3505,15647,0,0,13685,15648,505,4,157300,0,0,0,1,27040,0,0.17,2024-09-30,2024-10-01,7977,1900-01-01,0
large,9,manufacturing,partnership,rural,3,3,0,0,1,0,1,6,890978,172762,2301013,831527,54075,105036,1000,2024,227769,198656,758,3,148305,0,0,0,0,23631,0,0.12,2024-09-30,2024-10-01,8064,1900-01-01,0
medium,16,hospitality,sole trader,urban,4,5,0,0,0,0,0,12,273156,38986,1045953,407911,18176,39708,0,0,76839,63860,565,6,579366,0,1,2,0,2467,1,0.17,2024-09-30,2024-10-01,81,2024-09-30,1
small,19,services,partnership,urban,3,4,0,0,1,1,0,9,58002,9225,381910,123172,6698,20922,100,279,16479,17561,515,8,298520,0,0,0,0,37568,0,0.12,2024-09-30,2024-10-01,9627,1900-01-01,0
small,4,manufacturing,partnership,urban,0,3,2,0,1,1,0,16,59455,15785,188624,64154,9193,44666,100,115,14295,16705,519,4,255024,0,1,3,0,29157,1,0.14,2024-09-30,2024-10-01,867,2024-09-30,0
medium,16,retail,partnership,rural,7,3,0,0,0,1,1,18,332505,19928,1206335,276496,27348,61287,0,0,71928,77410,528,6,168732,0,0,0,0,25035,0,0.14,2024-09-30,2024-10-01,6231,1900-01-01,0
small,6,hospitality,company,suburban,7,2,0,0,1,1,0,13,52113,2952,244847,33366,8082,39320,100,296,12466,11920,504,9,53631,0,0,0,0,21975,0,0.19,2024-09-30,2024-10-01,1593,1900-01-01,0
small,8,hospitality,sole trader,urban,3,5,0,1,1,1,1,9,59972,17294,463265,113832,4312,21656,0,0,14660,15172,526,1,83199,0,1,2,0,9069,0,0.16,2024-09-30,2024-10-01,9069,1900-01-01,0
medium,3,services,partnership,urban,0,4,0,0,1,0,1,6,278460,36330,826986,309181,31854,64709,500,2250,67990,54990,550,6,347214,0,0,0,0,31054,0,0.12,2024-09-30,2024-10-01,1656,1900-01-01,0
small,6,manufacturing,company,urban,9,5,0,0,0,1,0,9,55081,16093,421965,54369,8882,16619,0,0,14911,15723,524,7,268093,0,0,0,0,32595,0,0.15,2024-09-30,2024-10-01,4889,1900-01-01,1
